rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
4.995413179719129577e+06 2.297342813872777612e+01 5.023983410572075195e+12 3.881276459305062210e-02 4.947386492159526483e+02 3.751790650979921260e+00
4.942967778631418943e+06 2.270964392812333443e+01 5.064848808711439453e+12 3.961099159105035961e-02 4.984634425808879996e+02 3.763539572629752694e+00
4.977671875997092575e+06 2.248947937721605683e+01 5.117984888296869141e+12 3.923051501978240541e-02 4.986060818055569257e+02 3.661479119245358405e+00
4.951821457645716146e+06 2.264340442895994343e+01 5.055967386759862305e+12 3.919582906414761925e-02 4.971590037164681917e+02 3.698639357985118892e+00
4.969207319555809721e+06 2.261565254236392519e+01 5.111718969344700195e+12 3.884022796130010002e-02 4.996971048294844877e+02 3.674821713965377157e+00
4.759171533039731905e+06 2.282247568306863172e+01 5.015869261280169922e+12 3.936603578546754578e-02 4.998176254600992934e+02 3.843431012327784835e+00
4.981688537254061550e+06 2.262086470590699605e+01 5.227005802163579102e+12 3.858196872390159959e-02 4.995122395665649719e+02 3.793626762191019353e+00
4.869400246160781011e+06 2.204493998342116967e+01 5.016002718983343750e+12 3.897594207565190094e-02 4.982471510176239917e+02 3.961303949602033025e+00
4.983381147467205301e+06 2.229702823008860690e+01 5.409052414322458008e+12 3.833964425187376401e-02 4.964252890383913837e+02 3.872997022665495503e+00
4.990324700678898022e+06 2.234734805607947195e+01 5.026903211532220703e+12 3.914442433960614587e-02 4.984798553220732629e+02 3.835504015012323631e+00
4.872823434820024297e+06 2.317009005738145788e+01 5.079542611395598633e+12 3.892410651538392302e-02 4.998978114688838446e+02 3.790442273027287090e+00
4.905874492269124836e+06 2.237684479882123867e+01 5.005087321946468750e+12 3.966959129102162751e-02 4.986016872694170274e+02 3.837069318361450154e+00
4.969643504326663911e+06 2.221540468362631060e+01 5.087027391944583008e+12 3.896620492758804538e-02 4.994811638990494771e+02 3.870399057199476633e+00
